,Date,0,1,2
215,2018-11-07,1.1073873,-12.948413,-0.4850136
216,2018-11-08,0.9016845,-12.798178,-0.3927501
217,2018-11-09,2.0730574,-13.682632,-0.29275373
218,2018-11-12,3.7242305,-15.092987,-0.6639592
219,2018-11-13,3.571544,-15.26503,-0.65643996
220,2018-11-14,3.52065,-15.603693,-0.6910811
221,2018-11-15,2.8284383,-15.513783,-0.54180765
222,2018-11-16,1.9985933,-15.079583,-0.37745085
223,2018-11-19,2.3102503,-15.885251,-0.5816869
224,2018-11-20,2.5249043,-16.662,-0.6240589
225,2018-11-21,2.194714,-16.754799,-0.5844402
226,2018-11-23,2.1392002,-16.954855,-0.5448872
227,2018-11-26,1.7976621,-17.01554,-0.4537402
228,2018-11-27,1.4135154,-17.089027,-0.3551951
229,2018-11-28,-1.0189316,-16.568449,-0.5291694
230,2018-11-29,-1.4332589,-16.46564,-0.5809589
231,2018-11-30,-1.4805878,-16.5577,-0.5516784
232,2018-12-03,-3.128836,-15.636189,-0.81384444
233,2018-12-04,-1.7890117,-16.53482,-0.55822533
234,2018-12-06,-0.44844705,-17.338276,-0.101986386
235,2018-12-07,0.42524827,-17.735558,0.3131873
236,2018-12-10,0.52708316,-17.703089,0.6257869
237,2018-12-11,-0.30172342,-17.549042,0.24323134
238,2018-12-12,-0.987759,-17.29719,-0.009965619
239,2018-12-13,-1.6394762,-16.919394,-0.16207816
240,2018-12-14,-0.15521306,-17.733122,0.31767008
241,2018-12-17,-0.015938284,-17.800642,0.38499114
242,2018-12-18,-0.743629,-17.545542,0.08436197
243,2018-12-19,-0.011685603,-17.785753,0.45594078
244,2018-12-20,0.6614108,-17.883287,0.8002449
245,2018-12-21,1.0348586,-17.983843,0.9158465
246,2018-12-24,1.15587,-18.01808,0.9244138
247,2018-12-26,-0.6757925,-17.539831,0.5754421
248,2018-12-27,-1.0940738,-17.2429,0.17219584
249,2018-12-28,-1.8795577,-16.7568,-0.12973222
250,2018-12-31,-2.3907208,-16.359488,-0.33110413
251,2019-01-02,-2.4200876,-16.33152,-0.32571915
252,2019-01-03,0.8544402,-17.77974,0.91964346
253,2019-01-04,-0.30539465,-17.25546,0.54753
254,2019-01-07,-0.7425836,-17.055853,0.31829658
255,2019-01-08,-1.9409535,-16.502533,-0.104150936
256,2019-01-09,-2.8724303,-16.023453,-0.41946056
257,2019-01-10,-3.4127705,-15.69724,-0.5235612
258,2019-01-11,-3.5044534,-15.651117,-0.52568746
259,2019-01-14,-2.7168133,-16.152403,-0.3165685
260,2019-01-15,-3.5283556,-15.614056,-0.50482464
261,2019-01-16,-4.3790507,-15.078121,-0.7238075
262,2019-01-17,-4.6985326,-14.887843,-0.82020265
263,2019-01-18,-5.009084,-14.716935,-0.94984645
264,2019-01-22,-4.39365,-15.059423,-0.6952734
265,2019-01-23,-4.380073,-15.06216,-0.68779385
266,2019-01-24,-3.9821408,-15.274262,-0.5491753
267,2019-01-25,-5.319938,-14.5533905,-1.114086
268,2019-01-28,-4.83546,-14.785448,-0.8357592
269,2019-01-29,-4.724425,-14.8312435,-0.7581085
270,2019-01-30,-13.79265,-10.693561,-1.5620574
271,2019-01-31,-13.820905,-10.682623,-1.4358453
272,2019-02-01,-13.90869,-10.684821,-0.9164151
273,2019-02-04,-14.004683,-10.615232,-0.46892834
274,2019-02-05,-14.117503,-10.445673,-0.080717355
275,2019-02-06,-14.047288,-10.698861,0.3026825
276,2019-02-07,-13.580007,-11.608569,1.0101376
277,2019-02-08,-13.3278475,-12.032902,1.3912457
278,2019-02-11,-13.299059,-12.064255,1.5248183
279,2019-02-12,-13.345673,-12.002693,1.5240426
280,2019-02-13,-13.362093,-11.968529,1.6093398
281,2019-02-14,-13.296161,-12.055542,1.7237533
282,2019-02-15,-13.297108,-12.031664,1.8416059
283,2019-02-19,-13.268138,-11.994443,2.0903301
284,2019-02-20,-13.737113,-11.367202,1.5588951
285,2019-02-21,-13.2233,-11.9439745,2.316928
286,2019-02-22,-13.737259,-11.366508,1.6549072
287,2019-02-25,-14.307143,-9.9971285,0.43565065
288,2019-02-26,-14.181405,-10.39985,0.68331015
289,2019-02-27,-14.169,-10.429323,0.6544166
290,2019-02-28,-13.860256,-11.156422,1.4590477
291,2019-03-01,-14.006882,-10.851698,1.0547159
292,2019-03-04,-14.217136,-10.278163,0.6763208
293,2019-03-05,-13.985848,-10.8898115,1.1795018
294,2019-03-06,-13.689474,-11.422972,1.8455079
295,2019-03-07,-4.093104,-10.433171,4.019586
296,2019-03-08,-3.903348,-10.371919,3.9936543
297,2019-03-11,-14.521384,-9.108165,0.11366734
298,2019-03-12,-14.747796,-8.687854,-0.1597466
299,2019-03-13,-14.629832,-8.575525,0.070553325
