,0
336,16.470667
337,16.322666
338,16.132
339,15.968
340,15.134
341,15.487333
342,15.463333
343,15.222
344,14.068667
345,13.690667
346,13.672
347,12.848667
348,13.032667
349,12.708667
350,12.58
351,12.657333
352,12.548
353,12.344
354,11.931333
355,12.906667
356,13.106
357,13.73
358,13.633333
359,14.192
360,14.473333
361,13.950667
362,14.260667
363,14.328
364,15.002
365,14.982667
366,15.095333
367,14.641333
368,14.790667
369,14.909333
370,14.650667
371,14.618
372,14.856
373,14.897333
374,15.144667
375,14.97
376,15.66
377,15.54
378,15.356
379,15.337333
380,15.928
381,15.906667
382,16.338667
383,16.9
384,16.825333
385,16.990667
386,16.902666
387,17.212
388,17.045334
389,17.344667
390,17.658667
391,15.254667
392,15.202667
393,15.718
394,16.150667
395,16.107332
396,15.59
397,15.622667
398,15.221333
399,15.383333
400,15.561333
401,15.886667
402,15.667333
403,15.267333
404,15.666667
405,14.641333
406,14.376
407,14.662667
408,15.122
409,15.057333
410,14.722
411,14.81
412,14.093333
413,14.333333
414,14.272
415,14.372667
416,14.780667
417,15.040667
418,15.000667
419,14.712
420,15.305333
421,15.163333
422,15.452667
423,15.702667
424,16.473333
425,16.391333
426,16.346666
427,16.187332
428,16.319332
429,16.232668
430,16.440001
431,16.041332
432,16.082001
433,14.880667
434,15.246667
435,16.170668
436,16.142
437,16.058001
438,16.312668
439,16.208668
440,15.535333
441,15.428667
442,15.848
443,16.003332
444,16.302
445,16.316
446,16.525999
447,17.130667
448,17.192667
449,17.316668
450,17.464666
451,17.129999
452,16.9
453,17.038668
454,16.978666
455,19.978666
456,21.875334
457,21.847334
458,21.081333
459,21.000668
460,20.994667
461,20.887333
462,21.164667
463,21.148001
464,21.771999
465,22.369333
466,22.476
467,23.006001
468,23.328667
469,23.073999
470,23.290001
471,23.478001
472,23.332666
473,23.968
474,23.481333
475,23.655333
476,22.202667
477,22.422667
478,21.927999
479,22.086
480,21.996
481,22.324667
482,22.413334
483,22.202
484,22.024668
485,22.392668
486,22.635332
487,23.256001
488,23.513332
489,23.978666
490,23.892668
491,25.433332
492,25.266001
493,26.209999
494,26.936001
495,27.039333
496,27.948
497,28.35
498,28.729334
499,28.691999
500,27.646667
501,27.888666
502,28.684
503,29.534
504,30.102667
505,31.270666
506,32.809334
507,32.089333
508,31.876667
509,34.990665
510,35.861332
511,34.566666
512,34.232666
513,34.033333
514,36.48
515,37.970669
516,38.146667
517,37.654667
518,37.201332
519,37.793331
520,38.732666
521,42.720669
522,43.371334
523,52.0
524,59.137333
525,48.98
526,49.930668
527,49.871334
528,51.418667
529,51.625332
530,51.152668
531,53.599998
532,53.335335
533,57.226665
534,61.161331
535,59.960667
536,60.066666
537,55.585999
538,53.327332
539,51.919998
540,45.266666
541,44.532665
542,49.574669
543,49.700668
544,49.966667
545,48.302666
546,46.898666
547,40.533333
548,43.021999
549,42.282001
550,37.369999
551,36.441334
552,29.671333
553,28.68
554,24.081333
555,28.509333
556,28.502001
557,28.952667
558,33.666668
559,35.950001
560,35.210667
561,34.290668
562,33.475334
563,34.933334
564,32.104
565,30.298
566,32.000668
567,34.416
568,36.363335
569,36.589333
570,38.200001
571,43.396667
572,47.326
573,48.655334
574,49.680668
575,50.259335
576,49.757332
577,45.781334
578,48.807335
579,47.042
580,48.343334
581,53.25
582,51.274666
583,53.367332
584,52.125332
585,46.754665
586,50.745998
587,51.214001
588,52.172001
589,52.002666
590,54.627998
591,54.085999
592,53.960667
593,52.730667
594,53.555332
595,53.278
596,54.242001
597,53.867332
598,54.370667
599,55.173332
600,54.458668
601,54.591331
602,54.681999
603,53.720669
604,55.666668
605,59.873333
606,58.770668
607,58.863998
608,57.625332
609,59.043999
610,63.327999
611,62.711334
612,68.33667
613,64.856003
614,62.352001
615,66.059998
616,65.475334
617,66.119331
618,66.930664
619,66.726669
620,66.288002
621,66.785332
622,64.056664
623,65.732002
624,63.982666
625,67.290001
626,71.987335
627,74.641998
628,80.577332
629,91.438667
630,92.657333
631,91.05867
632,92.952003
633,102.976669
634,99.804001
635,101.120003
636,103.067329
637,100.042664
638,100.056
639,109.533333
640,104.557335
641,106.155334
642,100.87133
643,94.466667
644,102.639999
645,98.432671
646,99.940666
647,99.166
648,95.384003
649,99.0
650,99.133331
651,99.001335
652,99.305336
653,96.847336
654,94.571335
655,91.625999
656,103.650665
657,108.066666
658,110.047333
659,122.375999
660,125.806
661,125.235336
662,133.455338
663,136.665329
664,134.279999
665,134.889328
666,143.544662
667,149.25
668,147.559998
669,166.106674
670,158.350006
671,149.123337
672,135.666672
673,139.440002
674,110.07
675,122.09333
676,123.779999
677,124.239998
678,139.873337
679,149.919998
680,147.253326
681,141.143326
682,147.383331
683,149.796661
684,141.410004
685,126.786667
686,129.263336
687,135.779999
688,140.399994
689,139.690002
690,143.003326
691,149.386673
692,138.363327
693,141.893326
694,137.993332
695,141.766663
696,141.973328
697,144.666672
698,147.433334
699,148.883331
700,153.766663
701,149.626663
702,146.556671
703,143.610001
704,140.646667
705,140.880005
706,141.929993
707,140.210007
708,140.093338
709,141.559998
710,135.339996
711,136.943329
712,129.346664
713,133.503326
714,141.300003
715,140.32666
716,146.029999
717,143.316666
718,140.419998
719,136.786667
720,139.043335
721,137.253326
722,136.166672
723,136.029999
724,147.203339
725,162.213333
726,166.42334
727,163.203339
728,173.949997
729,185.126663
730,191.333328
731,195.253326
732,189.199997
733,194.919998
734,189.606674
735,197.793335
736,199.679993
737,213.919998
738,216.626663
739,201.493332
740,209.023331
741,203.330002
742,213.276672
743,211.083328
744,207.589996
745,218.633331
746,231.666672
747,216.619995
748,213.446671
749,215.32666
750,220.589996
751,221.229996
752,221.996674
753,231.593338
754,235.223328
755,243.256668
756,245.036667
757,251.993332
758,272.013336
759,293.339996
760,270.396667
761,283.146667
762,284.803345
763,281.666656
764,275.386658
765,281.516663
766,283.483337
767,281.66333
768,282.213318
769,293.600006
770,294.363342
771,288.053345
772,278.476654
773,264.51001
774,279.936676
775,290.929993
776,284.896667
777,283.329987
778,284.07666
779,287.806671
780,283.15332
781,268.273346
782,270.553345
783,272.040009
784,265.406677
785,266.049988
786,262.459991
787,260.433319
788,238.166672
789,232.946671
790,247.339996
791,227.406662
792,225.166672
793,239.476669
794,228.813339
795,217.733337
796,207.146667
797,199.316666
798,187.666672
799,224.526672
800,222.686661
801,233.199997
802,231.243332
803,235.979996
804,225.626663
805,233.936661
806,217.720001
807,218.289993
808,223.333328
809,220.720001
810,210.089996
811,213.463333
812,206.236664
813,203.763336
814,211.873337
815,222.643326
816,220.583328
817,230.350006
818,230.539993
819,223.656662
820,227.933334
821,225.67334
822,233.993332
823,254.106674
824,244.07666
825,246.28334
826,246.593338
827,238.210007
828,239.66333
829,248.039993
830,239.896667
831,243.133331
832,246.066666
833,234.91333
834,231.46666
835,225.666672
836,236.479996
837,228.300003
838,224.53334
839,223.646667
840,221.179993
841,224.123337
842,209.679993
843,205.733337
844,196.630005
845,190.563339
846,196.580002
847,192.276672
848,192.623337
849,187.820007
850,195.593338
851,193.626663
852,202.146667
853,201.563339
854,206.376663
855,210.28334
856,208.406662
857,207.96666
