,0
178,54.560001
179,54.592499
180,55.0075
181,54.415001
182,55.197498
183,55.547501
184,55.105
185,56.237499
186,56.435001
187,56.814999
188,57.32
189,58.017502
190,56.997501
191,56.072498
192,55.942501
193,56.717499
194,54.09
195,53.612499
196,55.5275
197,54.34
198,55.537498
199,55.297501
200,54.005001
201,54.827499
202,55.162498
203,55.682499
204,53.772499
205,54.950001
206,54.075001
207,53.060001
208,53.325001
209,54.715
210,55.555
211,51.869999
212,50.397499
213,50.942501
214,52.487499
215,52.122501
216,51.1175
217,48.5425
218,48.057499
219,46.700001
220,47.852501
221,48.3825
222,46.465
223,44.244999
224,44.195
225,43.072498
226,43.654999
227,43.560001
228,45.235001
229,44.887501
230,44.645
231,46.205002
232,44.172501
233,43.68
234,42.122501
235,42.400002
236,42.157501
237,42.275002
238,42.737499
239,41.369999
240,40.985001
241,41.517502
242,40.2225
243,39.2075
244,37.682499
245,36.7075
246,39.2925
247,39.037498
248,39.057499
249,39.435001
250,39.48
251,35.547501
252,37.064999
253,36.982498
254,37.6875
255,38.327499
256,38.450001
257,38.072498
258,37.5
259,38.267502
260,38.735001
261,38.965
262,39.205002
263,38.325001
264,38.48
265,38.174999
266,39.439999
267,39.075001
268,38.669998
269,41.3125
270,41.610001
271,41.630001
272,42.8125
273,43.544998
274,43.560001
275,42.735001
276,42.602501
277,42.357498
278,42.7225
279,42.544998
280,42.700001
281,42.605
282,42.732498
283,43.0075
284,42.764999
285,43.2425
286,43.557499
287,43.5825
288,43.717499
289,43.287498
290,43.7425
291,43.962502
292,43.8825
293,43.630001
294,43.125
295,43.227501
296,44.724998
297,45.227501
298,45.427502
299,45.932499
300,46.529999
301,47.005001
302,46.6325
303,47.040001
304,48.772499
305,47.762501
306,47.185001
307,46.697498
308,47.1175
309,47.18
310,47.487499
311,47.810001
312,48.505001
313,48.837502
314,48.922501
315,49.25
316,50.025002
317,49.875
318,50.154999
319,49.737499
320,49.717499
321,49.807499
322,49.8125
323,50.782501
324,50.965
325,51.1325
326,51.869999
327,51.790001
328,51.32
329,51.075001
330,51.1525
331,50.1675
332,52.630001
333,52.287498
334,52.9375
335,52.119999
336,50.715
337,50.724998
338,50.18
339,49.294998
340,46.43
341,47.165001
342,47.73
343,47.52
344,47.25
345,45.772499
346,46.650002
347,45.695
348,44.915001
349,44.7425
350,44.557499
351,44.345001
352,44.575001
353,43.767502
354,43.325001
355,44.91
356,45.634998
357,46.305
358,47.537498
359,48.145
360,48.702499
361,48.547501
362,48.537498
363,48.185001
364,48.4725
365,49.612499
366,49.467499
367,49.865002
368,49.695
369,49.645
370,48.892502
371,49.950001
372,49.935001
373,49.48
374,50.387501
375,50.682499
376,51.102501
377,51.057499
378,50.005001
379,50.310001
380,50.807499
381,50.4375
382,50.825001
383,51.302502
384,51.125
385,50.837502
386,51.415001
387,50.647499
388,51.805
389,52.209999
390,52.1675
391,51.755001
392,51.935001
393,52.419998
394,52.195
395,53.259998
396,52.107498
397,51.005001
398,48.334999
399,49.25
400,49.759998
401,50.857498
402,50.247501
403,50.119999
404,52.2425
405,50.6875
406,50.435001
407,51.625
408,52.587502
409,52.59
410,53.16
411,53.115002
412,50.66
413,51.622501
414,51.040001
415,51.3825
416,52.252499
417,52.185001
418,51.424999
419,52.297501
420,53.32
421,53.314999
422,53.5425
423,54.174999
424,55.897499
425,55.772499
426,54.6875
427,54.974998
428,55.174999
429,55.692501
430,55.240002
431,54.432499
432,54.68
433,54.419998
434,55.2575
435,54.9725
436,54.705002
437,55.9925
438,56.147499
439,54.740002
440,55.205002
441,56.752499
442,56.764999
443,56.099998
444,56.7575
445,57.522499
446,59.052502
447,58.967499
448,58.830002
449,58.592499
450,58.82
451,59.102501
